school,sex,age,address,family_size,parent_status,mother_edu,father_edu,mother_job,father_job,reason,guardian,travel_time,study_time,past_failures,school_edu_support,family_edu_support,extra_paid_classes,activities,nursery,higher_edu_aspiration,internet_at_home,romantic_rel,family_rel_rating,freetime_rating,go_out_rating,alc_weekday,alc_weekend,health_rating,num_absences,CLASS
0,0,3,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,3,2,3,0,0,2,6,3
0,0,2,1,0,1,3,3,0,2,0,0,3,0,0,0,1,0,0,0,1,1,0,4,2,2,0,0,2,4,3
0,0,0,1,1,1,3,3,0,2,2,1,3,0,3,1,0,1,0,1,1,1,0,3,2,1,1,2,2,10,3
0,0,0,1,0,1,0,1,1,3,1,1,3,1,0,0,1,1,1,1,1,1,1,2,1,1,0,0,4,2,1
0,0,1,1,0,1,4,4,2,2,1,0,3,0,0,0,1,1,0,1,1,0,0,3,2,1,0,1,4,4,2
0,1,1,1,1,1,0,4,3,2,3,1,3,0,0,0,1,1,1,1,1,1,0,4,3,1,0,1,4,10,1
0,1,1,1,1,1,1,1,2,2,1,1,3,0,0,0,0,0,0,1,1,1,0,3,3,3,0,0,2,0,2
0,0,2,1,0,0,0,0,2,4,1,1,0,0,0,1,1,0,0,1,1,0,0,3,0,3,0,0,0,6,3
0,1,0,1,1,0,4,1,3,2,1,1,3,0,0,0,1,1,0,1,1,1,0,3,1,1,0,0,0,0,0
0,1,0,1,0,1,4,0,2,2,1,1,3,0,0,0,1,1,1,1,1,1,0,4,4,0,0,0,4,0,1
0,0,0,1,0,1,0,0,4,1,3,1,3,0,0,0,1,1,0,1,1,1,0,2,2,2,0,1,1,0,3
0,0,0,1,0,1,1,3,3,2,3,0,1,1,0,0,1,0,1,1,1,1,0,4,1,1,0,0,3,4,2
0,1,0,1,1,1,0,0,1,3,0,0,3,3,0,0,1,1,1,1,1,1,0,3,2,2,0,2,4,2,1
0,1,0,1,0,1,0,4,4,2,0,1,0,0,0,0,1,1,0,1,1,1,0,4,3,2,0,1,2,2,2
0,1,0,1,0,0,1,1,2,2,1,2,3,1,0,0,1,0,0,1,1,1,1,3,4,1,0,0,2,0,0
0,0,1,1,0,1,0,0,1,2,1,1,3,3,0,0,1,0,0,1,1,1,0,3,3,3,0,1,1,4,1
0,0,1,1,0,1,0,0,3,3,3,1,3,1,0,0,1,1,1,1,1,1,0,2,1,2,0,1,1,6,1
0,0,1,1,0,1,4,4,2,2,3,1,1,0,0,1,1,0,1,1,1,0,0,4,2,1,0,0,3,4,2
0,1,2,1,0,1,4,1,3,3,0,1,3,3,3,0,1,0,1,1,1,1,0,4,4,4,1,3,4,16,3
