NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,TARGET
0,1,0,1,0,202500.0,406597.5,24700.5,351000.0,7,3,3,3,1,0.018801,-9461,-637,-3648.0,-2120,0,1,0,1,1,0,9,0,1,1,6,10,0,0,0,0,0,0,1
0,0,0,0,0,270000.0,1293502.5,35698.5,1129500.0,2,2,0,1,1,0.003540999999999999,-16765,-1188,-1186.0,-291,0,1,0,1,1,0,4,1,0,0,1,11,0,0,0,0,0,0,0
1,1,1,1,0,67500.0,135000.0,6750.0,135000.0,7,3,3,3,1,0.010032,-19046,-225,-4260.0,-2531,0,1,1,1,1,0,9,0,1,1,1,9,0,0,0,0,0,0,0
0,0,0,1,0,135000.0,312682.5,29686.5,297000.0,7,3,3,0,1,0.008019,-19005,-3039,-9833.0,-2437,0,1,0,1,0,0,9,1,1,1,6,17,0,0,0,0,0,0,0
0,1,0,1,0,121500.0,513000.0,21865.5,513000.0,7,3,3,3,1,0.028663,-19932,-3038,-4311.0,-3458,0,1,0,1,0,0,4,0,1,1,4,11,0,0,0,0,1,1,0
0,1,0,1,0,99000.0,490495.5,27517.5,454500.0,6,2,3,1,1,0.035792000000000004,-16941,-1588,-4970.0,-477,0,1,1,1,1,0,9,1,1,1,6,16,0,0,0,0,0,0,0
0,0,1,1,1,171000.0,1560726.0,41301.0,1395000.0,7,0,0,1,1,0.035792000000000004,-13778,-3130,-1213.0,-619,0,1,0,1,1,0,1,2,1,1,3,16,0,0,0,0,0,0,0
0,1,1,1,0,360000.0,1530000.0,42075.0,1530000.0,7,2,0,1,1,0.003122,-18850,-449,-4597.0,-2379,0,1,1,1,0,0,11,1,2,2,1,16,0,0,0,0,1,1,0
0,0,0,1,0,112500.0,1019610.0,33826.5,913500.0,1,1,3,1,1,0.018634,-20099,365243,-7427.0,-3514,0,0,0,1,0,0,0,1,1,1,6,14,0,0,0,0,0,0,0
1,1,0,1,0,135000.0,405000.0,20250.0,405000.0,7,3,3,3,1,0.019689,-14469,-2019,-14437.0,-3992,0,1,0,1,0,0,9,0,1,1,4,8,0,0,0,0,0,0,0
0,0,0,1,1,112500.0,652500.0,21177.0,652500.0,7,3,0,1,1,0.0228,-10197,-679,-4427.0,-738,0,1,0,1,0,0,4,2,1,1,2,15,0,0,0,0,0,0,0
0,0,0,1,0,38419.155,148365.0,10678.5,135000.0,1,1,3,1,1,0.015221,-20417,365243,-5246.0,-2512,0,0,0,1,1,0,0,1,1,1,0,7,0,0,0,0,0,0,0
0,0,0,1,0,67500.0,80865.0,5881.5,67500.0,7,3,3,1,1,0.031329,-13439,-2717,-311.0,-3227,0,1,1,1,1,0,9,1,1,1,0,10,0,0,0,0,0,0,0
0,1,1,0,1,225000.0,918468.0,28966.5,697500.0,7,3,3,1,1,0.016612000000000002,-14086,-3028,-643.0,-4911,0,1,0,1,0,0,5,2,1,1,4,13,0,0,0,0,0,0,0
0,0,0,1,0,189000.0,773680.5,32778.0,679500.0,7,3,3,1,1,0.010006,-14583,-203,-615.0,-2056,0,1,0,1,0,0,9,1,1,0,1,9,0,0,0,0,0,0,0
0,1,1,1,0,157500.0,299772.0,20160.0,247500.0,2,3,3,3,4,0.020713,-8728,-1157,-3494.0,-1368,0,1,0,1,0,0,9,0,2,2,2,6,0,0,0,1,1,0,0
0,1,0,0,0,108000.0,509602.5,26149.5,387000.0,7,3,3,1,1,0.018634,-12931,-1317,-6392.0,-3866,0,1,0,1,0,0,5,1,1,1,4,12,0,0,0,1,1,0,0
1,0,0,1,1,81000.0,270000.0,13500.0,270000.0,7,3,3,1,1,0.010966,-9776,-191,-4143.0,-2427,0,1,0,1,0,0,9,2,1,1,1,10,0,0,0,1,1,0,0
1,0,0,1,0,112500.0,157500.0,7875.0,157500.0,4,3,3,4,1,0.04622,-17718,-7804,-8751.0,-1259,0,1,0,1,1,0,9,0,0,0,0,13,0,0,0,0,0,0,0
0,0,0,1,1,90000.0,544491.0,17563.5,454500.0,7,2,0,3,1,0.015221,-11348,-2038,-1021.0,-3964,0,1,1,1,1,0,4,1,1,1,1,12,0,0,0,0,0,0,0
1,1,1,1,0,135000.0,427500.0,21375.0,427500.0,7,3,3,1,1,0.015221,-18252,-4286,-298.0,-1800,0,1,0,1,0,0,9,1,1,1,0,13,0,0,0,0,0,0,0
0,0,1,1,1,202500.0,1132573.5,37561.5,927000.0,7,0,3,1,1,0.025164,-14815,-1652,-2299.0,-2299,0,1,0,1,0,0,15,2,1,1,1,9,0,0,0,0,0,0,0
0,0,0,0,1,450000.0,497520.0,32521.5,450000.0,7,3,3,1,4,0.020713,-11146,-4306,-114.0,-2518,0,1,0,1,0,0,15,2,2,1,4,6,0,0,0,0,0,0,0
0,0,0,1,0,83250.0,239850.0,23850.0,225000.0,7,1,3,1,1,0.006296,-24827,365243,-9012.0,-3684,0,0,0,1,1,0,0,1,2,2,0,12,0,0,0,0,0,0,0
0,1,1,0,2,135000.0,247500.0,12703.5,247500.0,7,3,3,1,1,0.026392,-11286,-746,-108.0,-3729,0,1,0,1,0,0,5,3,1,1,4,14,0,0,0,0,1,1,0
0,0,0,1,0,90000.0,225000.0,11074.5,225000.0,7,3,3,1,1,0.028663,-19334,-3494,-2419.0,-2893,0,1,0,1,1,0,2,1,1,1,2,8,0,0,0,0,0,0,0
0,0,0,1,0,112500.0,979992.0,27076.5,702000.0,7,3,3,4,1,0.018029,-18724,-2628,-6573.0,-1827,0,1,0,1,0,0,3,0,2,1,1,9,0,0,0,0,0,0,1
0,1,0,1,1,112500.0,327024.0,23827.5,270000.0,2,3,3,1,1,0.019101,-15948,-1234,-5782.0,-3153,0,1,0,1,0,0,9,2,1,1,2,10,0,0,0,0,1,1,0
0,1,1,1,0,270000.0,790830.0,57676.5,675000.0,7,2,0,3,1,0.04622,-9994,-1796,-4668.0,-2661,0,1,0,1,0,1,0,0,0,0,6,11,0,1,1,0,0,0,0
1,1,0,1,0,90000.0,180000.0,9000.0,180000.0,7,3,0,3,5,0.030755,-10341,-1010,-4799.0,-3015,0,1,0,1,0,0,9,0,1,1,5,16,0,0,0,0,0,0,0
0,0,0,1,0,292500.0,665892.0,24592.5,477000.0,7,0,3,0,1,0.025164,-15280,-2668,-5266.0,-3787,0,1,0,1,0,1,0,1,1,1,6,13,0,0,0,0,0,0,0
0,0,0,1,0,112500.0,512064.0,25033.5,360000.0,2,3,3,0,1,0.008575,-11144,-1104,-7846.0,-2904,0,1,0,1,0,0,13,1,1,1,5,12,0,0,0,0,0,0,0
0,0,0,0,0,90000.0,199008.0,20893.5,180000.0,7,3,3,0,1,0.010032,-12974,-4404,-7123.0,-4464,0,1,1,1,0,0,9,1,1,1,2,11,0,0,0,0,0,0,0
0,1,1,0,1,360000.0,733315.5,39069.0,679500.0,7,0,3,1,1,0.015221,-11694,-2060,-3557.0,-3557,0,1,0,1,0,0,5,2,1,1,4,10,0,0,0,1,1,0,0
0,0,0,1,0,135000.0,1125000.0,32895.0,1125000.0,7,2,0,1,1,0.019689,-15997,-4585,-5735.0,-4067,0,1,0,1,0,0,4,1,1,1,0,14,0,0,0,0,0,0,0
0,0,0,0,0,112500.0,450000.0,44509.5,450000.0,7,3,0,1,1,0.008575,-12158,-1275,-6265.0,-2009,0,1,1,1,1,0,15,1,1,1,1,19,0,0,0,0,0,0,0
0,0,0,1,2,198000.0,641173.5,23157.0,553500.0,7,0,3,1,1,0.01885,-17199,-768,-63.0,-735,0,1,1,1,1,0,13,3,1,1,4,13,0,0,0,0,0,0,0
0,1,0,1,0,121500.0,454500.0,15151.5,454500.0,7,3,3,1,1,0.030755,-21077,-1288,-5474.0,-4270,0,1,0,1,1,0,5,1,1,1,0,10,0,0,0,0,1,1,0
0,0,0,1,0,99000.0,247275.0,17338.5,225000.0,7,1,3,1,1,0.006207,-23920,365243,-9817.0,-4969,0,0,0,1,1,0,0,1,1,1,0,11,0,0,0,0,0,0,0
1,1,1,1,0,180000.0,540000.0,27000.0,540000.0,7,3,0,1,1,0.025164,-16126,-1761,-8236.0,-4292,0,1,0,1,0,0,11,1,1,1,5,8,0,0,0,0,0,0,0
0,1,0,1,0,202500.0,1193580.0,35028.0,855000.0,7,0,3,1,1,0.025164,-17482,-1262,-1182.0,-1029,0,1,0,1,0,0,9,1,1,1,5,9,0,0,0,0,0,0,1
0,0,0,1,0,202500.0,604152.0,29196.0,540000.0,7,3,3,1,1,0.009175,-16971,-475,-3148.0,-513,0,1,0,1,1,0,9,1,1,1,1,12,0,1,1,0,1,1,0
0,0,0,0,0,135000.0,288873.0,16258.5,238500.0,7,3,3,0,1,0.007305,-13384,-3597,-45.0,-4409,0,1,1,1,1,0,15,1,2,2,4,11,0,0,0,0,0,0,1
0,0,0,1,0,108000.0,746280.0,42970.5,675000.0,7,1,0,3,1,0.010966,-23548,365243,-5745.0,-4576,0,0,0,1,0,0,0,0,1,1,6,9,0,0,0,0,0,0,0
0,1,0,1,0,202500.0,661702.5,48280.5,598500.0,7,3,3,0,1,0.007114,-9827,-758,-4166.0,-2380,0,1,1,1,0,0,0,1,1,1,6,12,0,0,0,0,1,1,0
1,0,0,1,1,90000.0,180000.0,9000.0,180000.0,2,3,3,0,1,0.009334,-7974,-895,-6591.0,-642,0,1,1,1,0,0,15,2,1,1,1,10,0,0,0,0,0,0,0
0,0,0,1,0,202500.0,305221.5,17649.0,252000.0,2,1,3,3,1,0.019689,-20373,365243,-7760.0,-1993,0,0,0,1,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0
0,0,0,1,0,99000.0,260640.0,26838.0,225000.0,7,3,3,1,1,0.022625,-20121,-5332,-9197.0,-3283,0,1,1,1,1,0,12,1,1,1,6,16,0,0,0,0,1,1,0
0,0,0,0,0,130500.0,1350000.0,37255.5,1350000.0,7,2,3,1,1,0.020713,-19727,-4411,-6225.0,-3199,0,1,1,1,1,0,11,1,2,2,4,10,0,0,0,0,0,0,0
0,1,1,1,0,360000.0,1506816.0,49927.5,1350000.0,7,3,3,1,1,0.010006,-18264,-9523,-5504.0,-1797,0,1,0,1,0,0,9,1,1,1,4,10,0,0,0,0,1,1,0
1,0,0,1,0,54000.0,135000.0,6750.0,135000.0,7,2,0,1,1,0.014519999999999996,-12406,-1176,-1149.0,-2576,0,1,0,0,0,0,4,1,1,1,4,9,0,0,0,0,0,0,0
0,1,1,1,1,540000.0,675000.0,34596.0,675000.0,7,0,0,1,1,0.026392,-18632,-6977,-3904.0,-1937,0,1,0,1,1,0,11,2,1,1,5,10,0,0,0,0,0,0,0
0,1,1,0,0,76500.0,454500.0,14661.0,454500.0,7,3,3,1,1,0.028663,-12282,-778,-1824.0,-1992,0,1,1,1,0,0,0,1,1,1,5,10,0,0,0,0,0,0,0
0,0,0,1,2,225000.0,314055.0,16164.0,238500.0,7,0,0,1,1,0.006629,-10473,-1392,-2025.0,-1240,0,1,0,1,0,0,4,3,1,1,4,3,0,0,0,1,1,0,0
0,1,1,0,0,81000.0,675000.0,32472.0,675000.0,7,1,3,1,1,0.010006,-18611,365243,-6936.0,-2142,0,0,0,1,1,0,0,1,1,1,5,17,0,0,0,0,0,0,0
0,0,0,1,0,180000.0,837427.5,45558.0,666000.0,7,3,0,1,1,0.022625,-12955,-4106,-7054.0,-5164,0,1,0,1,1,1,11,1,1,1,1,15,0,0,0,0,0,0,0
0,0,0,0,0,67500.0,298728.0,15381.0,202500.0,2,1,3,3,2,0.019101,-21621,365243,-2019.0,-1344,0,0,0,1,0,0,0,0,1,1,1,9,0,0,0,0,0,0,0
1,1,0,1,0,81000.0,247500.0,12375.0,247500.0,7,3,3,1,1,0.031329,-18248,-2351,-4375.0,-1721,0,1,1,1,1,0,17,1,1,1,6,14,0,0,0,0,1,1,0
0,1,1,1,1,360000.0,640458.0,27265.5,517500.0,7,3,3,2,1,0.00733,-14186,-1743,-2128.0,-4982,0,1,0,1,0,0,9,1,1,1,1,11,0,1,1,0,1,1,0
0,1,1,1,0,540000.0,1227901.5,46899.0,1129500.0,7,3,0,4,1,0.032561,-20544,-2091,-6846.0,-566,0,1,1,1,0,0,11,0,0,0,5,14,0,0,0,0,0,0,0
0,0,0,1,0,180000.0,1663987.5,86989.5,1588500.0,2,0,3,1,1,0.018801,-20121,-2446,-6755.0,-2177,0,1,0,1,0,0,1,1,1,1,1,12,0,0,0,0,0,0,0
0,1,0,0,0,180000.0,1080000.0,44118.0,1080000.0,7,3,1,3,5,0.010006,-7907,-1324,-4557.0,-586,0,1,0,1,0,1,15,0,1,0,5,9,0,0,0,0,0,0,0
0,1,1,1,0,324000.0,1130760.0,40189.5,810000.0,7,1,0,0,1,0.01885,-22843,365243,-1042.0,-3967,0,0,0,1,0,0,0,1,1,1,4,9,0,0,0,0,0,0,0
0,0,0,0,0,112500.0,95940.0,10462.5,90000.0,2,3,0,3,1,0.00496,-12240,-3720,-5246.0,-4541,0,1,0,1,0,0,0,0,1,1,1,14,0,0,0,0,0,0,0
0,1,1,0,0,180000.0,315000.0,9679.5,315000.0,0,0,3,1,1,0.028663,-13866,-2546,-5448.0,-4097,0,1,0,1,0,0,5,1,1,1,1,12,0,0,0,0,0,0,0
0,1,0,1,0,180000.0,1256400.0,40657.5,900000.0,7,0,3,3,1,0.072508,-12049,-579,-6105.0,-1,0,1,0,1,0,0,4,0,0,0,6,12,0,0,0,0,0,0,0
0,0,1,1,0,180000.0,1035000.0,43983.0,1035000.0,7,2,0,1,1,0.028663,-19550,-4856,-6836.0,-3084,0,1,0,1,0,0,4,1,1,1,5,9,0,0,0,0,0,0,0
1,1,0,1,0,225000.0,270000.0,13500.0,270000.0,7,3,3,2,2,0.00733,-15359,-114,-5076.0,-2922,0,1,0,1,0,0,9,0,1,1,4,9,0,0,0,0,1,1,0
1,0,0,0,1,157500.0,450000.0,22500.0,450000.0,7,0,3,0,1,0.010966,-11956,-3154,-8118.0,-4143,0,1,0,1,0,0,15,2,1,1,3,10,0,0,0,0,0,0,0
0,1,1,0,0,180000.0,450000.0,21109.5,450000.0,7,0,3,0,1,0.014519999999999996,-10848,-121,-4809.0,-3494,0,1,0,1,0,0,9,1,1,1,2,9,0,0,0,0,0,0,0
0,1,0,0,2,180000.0,450000.0,21109.5,450000.0,7,0,0,1,1,0.01885,-12009,-2844,-1377.0,-3656,0,1,1,1,1,0,9,3,1,1,1,12,0,0,0,0,0,0,0
0,1,1,1,0,103500.0,573628.5,24435.0,463500.0,7,3,3,1,1,0.009657,-15406,-892,-341.0,-4176,0,1,0,1,0,0,9,1,1,1,1,18,0,0,0,0,0,0,0
0,1,0,1,2,225000.0,495351.0,26140.5,459000.0,7,3,3,2,1,0.02461,-14860,-1156,-23.0,-1072,0,1,0,1,0,0,9,2,1,1,0,10,0,0,0,0,0,0,0
0,1,0,1,1,157500.0,755190.0,28894.5,675000.0,7,3,3,1,1,0.016612000000000002,-11187,-2224,-3253.0,-3723,0,1,1,1,0,0,5,2,1,1,6,12,0,0,0,0,0,0,0
0,0,0,1,1,135000.0,675000.0,21775.5,675000.0,7,0,0,4,1,0.019101,-14264,-2492,-4327.0,-4517,0,1,0,1,0,0,9,1,1,1,4,12,0,0,0,0,0,0,0
0,0,0,1,1,202500.0,1288350.0,37800.0,1125000.0,7,3,3,1,1,0.003069,-17542,-2011,-1529.0,-988,0,1,0,1,0,0,3,2,2,2,0,11,0,0,0,0,0,0,0
